SIS Number,Max Enroll,MS %,Meeting times,Current course title,Course title in menu
29129,100,20%,TuTh 03:30 PM-04:50 PM,CS 321 Programming languages,CS 321 Programming languages TuTh 03:30 PM-04:50 PM
24102,50,20%,TuTh 05:00 PM-06:20 PM,CS 322 Compilers,CS 322 Compilers TuTh 05:00 PM-06:20 PM
29133,40,20%,MW 12:30 PM-01:50 PM,CS 331 Intro. Computation Phototography,CS 331 Intro. Computation Phototography MW 12:30 PM-01:50 PM
24093,100,20%,TuTh 09:30 AM-10:50 AM,CS 336 Algorithms,CS 336 Algorithms TuTh 09:30 AM-10:50 AM
24150,80,20%,TuTh 11:00 AM-12:20 PM,CS 338 Practicum in Intelligent Information Systems,CS 338 Practicum in Intelligent Information Systems TuTh 11:00 AM-12:20 PM
24378,91,20%,TuTh 11:00 AM-12:20 PM,CS 339 Databases,CS 339 Databases TuTh 11:00 AM-12:20 PM
24104,100,20%,TuTh 09:30 AM-10:50 AM,CS 340 Networking,CS 340 Networking TuTh 09:30 AM-10:50 AM
24103,100,10%,TuTh 09:30 AM-10:50 AM,CS 343 Operating Systems,CS 343 Operating Systems TuTh 09:30 AM-10:50 AM
24541,80,20%,MWF 11:00 AM-11:50 AM,CS 348 Artificial Intelligence,CS 348 AI MWF 11:00 AM-11:50 AM
24100,100,20%,MW 12:30 PM-01:50 PM,CS 349 Machine Learning,CS 349 ML MW 12:30 PM-01:50 PM
24110,50,50%,TuTh 02:00 PM-03:20 PM,CS 351.2 Intermediate CG,CS 351.2 Intermediate CG TuTh 02:00 PM-03:20 PM
24101,70,20%,TuTh 02:00 PM-03:20 PM,CS 371 Knowledge Representation and Reasoning,CS 371 Knowledge Representation and Reasoning TuTh 02:00 PM-03:20 PM
24122,50,20%,MW 06:30 PM-07:50 PM,CS 377 Game Development Studio,CS 377 Game Development Studio MW 06:30 PM-07:50 PM
24112,50,20%,F 02:00 PM-04:50 PM,CS 396 Advanced Algorithm Design through the Lens of Competitive Programming,CS 396 Advanced Algorithm Design through the Lens of Competitive Programming F 02:00 PM-04:50 PM
24114,15,20%,MW 05:00 PM-06:20 PM,CS 396 Modeling Relationships with Causal Inference,CS 396 Modeling Relationships with Causal Inference MW 05:00 PM-06:20 PM
24113,50,20%,MW 05:00 PM-06:20 PM,CS 396 Communicating Computer Science,CS 396 Communicating Computer Science MW 05:00 PM-06:20 PM
24111,10,20%,MW 08:00 AM-09:20 AM,CS 396 Generative Methods,CS 396 Generative Methods MW 08:00 AM-09:20 AM
24384,150,20%,MW 12:30 PM-01:50 PM,CS 396 Intro to Web Development,CS 396 Intro to Web Development MW 12:30 PM-01:50 PM
29135,60,20%,TuTh 12:30 PM-01:50 PM,CS 396 Kolmogorov Complexity,CS 396 Kolmogorov Complexity TuTh 12:30 PM-01:50 PM
29134,10,20%,Th 06:30 PM-09:20 PM,CS 396 Social Networks Analysis,CS 396 Social Networks Analysis Th 06:30 PM-09:20 PM
24362,25,20%,TuTh 09:30 AM-10:50 AM,CS 396/496 Advanced Topics in Modern Cryptography,CS 396/496 Advanced Topics in Modern Cryptography TuTh 09:30 AM-10:50 AM
29610,60,20%,TuTh 03:30 PM-04:50 PM,CS 333 Interactive Information Visualization,CS 396/496 Interactive Information Visualization TuTh 03:30 PM-04:50 PM
24097,20,20%,TuTh 03:30 PM-04:50 PM,CS 397/497 Data Privacy,CS 397/497 Data Privacy TuTh 03:30 PM-04:50 PM
24359,5,20%,Tu 02:30 PM-05:30 PM,CS 397/497 INNOVATION LAB Building Technologies for the Law,CS 397/497 INNOVATION LAB Building Technologies for the Law Tu 02:30 PM-05:30 PM
29130,30,20%,MW 09:30 AM-10:50 AM,CS 450 Internet Security,CS 450 Internet Security MW 09:30 AM-10:50 AM
29136,40,20%,MW 03:30 PM-04:50 PM,CS 496 Randomized Algorithms,CS 496 Topics in Complexity MW 03:30 PM-04:50 PM
29137,60,50%,TuTh 11:00 AM-12:20 PM,CS 496 Graduate Algorithms,CS 496 Graduate Algorithms TuTh 11:00 AM-12:20 PM
29138,10,20%,W 02:00 PM-04:50 PM,CS 496 The Design of Technological tools for Thinking and learning,CS 496 The Design of Technological tools for Thinking and learning W 02:00 PM-04:50 PM
29139,60,20%,MW 03:30 PM-04:50 PM,CS 496 Distributed Systems in Challenging Environments,CS 496 Distributed Systems in Challenging Environments MW 03:30 PM-04:50 PM
29140,15,20%,M 02:00 PM-04:50 PM,CS 496 Visualization for Scientific Communication,CS 496 Visualization for Scientific Communication W 03:00 PM-05:50 PM
